image_id,top1,top5,top10,top50,top100,AUC
camera0_3_image000130,0.0,0.09747861395029034,0.17630081158135094,0.2274879159846088,0.29823958341030044,0.22321583664567063
camera0_3_image000140,0.0,0.0960262641508343,0.1819173862482483,0.23193718921857118,0.2993851563711784,0.2267379980139321
camera0_3_image000150,0.0,0.09411552100744905,0.180773566277367,0.22877704583981226,0.29837072622803423,0.22469858893198444
camera0_3_image000160,0.0,0.09466415570390598,0.19420156304205308,0.23347852816138265,0.3064960041808933,0.23196421960503125
camera0_3_image000170,0.0,0.08916713906927791,0.19579618876790014,0.23268304737372417,0.3062113935153587,0.23164331659384677
camera0_3_image000180,0.0,0.08990546003748265,0.19672240321558698,0.22741993413655978,0.3069485393411786,0.2296812036585233
camera0_3_image000190,0.0,0.06846910036422524,0.1404013869959503,0.19637709966405376,0.2839780065378737,0.19599557381188853
camera0_3_image000200,0.0,0.04530028559665966,0.07827579032747552,0.17968970713204382,0.26680989193862037,0.16890243118141898
camera0_3_image000210,0.0,0.02416823978494464,0.054362357348723474,0.16306214051157372,0.2532552763962311,0.1515261449727775
camera0_3_image000220,0.0,0.01692007461648132,0.04952174425854746,0.15964437042048749,0.2507309084557228,0.14790554506976103
camera0_3_image000230,0.0,0.029951674894752152,0.0477416300558751,0.1746531470087317,0.25012962753280676,0.1547636516868335
camera0_3_image000240,0.0,0.0020755854929303823,0.01191203957709522,0.17771019312321307,0.24505800441370892,0.14546232147565652
camera0_3_image000250,0.0,0.002083872474311202,0.03622643112977744,0.21674603659245315,0.2576057331604066,0.1719008798204523
camera0_3_image000260,0.0,0.001904888063183706,0.035883634770641985,0.22642165540433362,0.2584151932649225,0.17641725357011792
camera0_3_image000270,0.0,0.0017954496069194333,0.04654245756238524,0.22707140810267357,0.2566886415993095,0.17869408306048154
camera0_3_image000280,0.0,0.0018516098653448478,0.004512056522538878,0.20571948176442614,0.24296266240196693,0.15597269450100373
camera0_3_image000290,0.0,0.0016526161119808198,0.023789727365600193,0.204035156273268,0.24262431494319048,0.15949389438491493
camera0_3_image000300,0.0,0.0016052951246806949,0.025621567545959453,0.18887416611586033,0.2357283315235869,0.15127530162776148
camera0_3_image000310,0.0,0.0015728963893836686,0.031730280232181614,0.184958853587059,0.23098612056244625,0.14968495721671693
camera0_3_image000320,0.0,0.0018683990025032528,0.0025106793126212306,0.1675890107458369,0.21886807394412386,0.13210207487081685
camera0_3_image000330,0.0,0.0015630735931628727,0.03726908744560405,0.17075831449127343,0.21737600733323678,0.14105164276902432
camera0_3_image000340,0.0,0.00152719062084823,0.04775567404470815,0.17387091598412813,0.21235130514743122,0.14357928153304195
camera0_3_image000350,0.0,0.002123056303404811,0.06602970563417825,0.1838418089105847,0.210505600190993,0.15182569228166987
camera0_3_image000360,0.0,0.0019529945077606844,0.06757289060007955,0.18911445106595642,0.20763506587477543,0.15384045917802006
camera0_3_image000370,0.0,0.0022873748443637165,0.06727360305106497,0.18501318569243902,0.19819385471421383,0.14953928262084398
camera0_3_image000380,0.0,0.002756018150225761,0.07477365098278452,0.1818427901731166,0.1906548443982376,0.14792026158115867
camera0_3_image000390,0.0,0.0025839950928803947,0.0716643554783063,0.16879902478506187,0.1808662101421459,0.13880492267738534
camera0_3_image000400,0.0,0.0028394802481547907,0.06367766975800196,0.1435206145970966,0.16827556627920612,0.12233173782344565
camera0_3_image000410,0.0,0.0016277075528145946,0.039869455080772276,0.13396761452569947,0.16258287721323675,0.11108587886153864
camera0_3_image000420,0.0,0.017399968783699062,0.03299526758942363,0.12893199634415003,0.1597934572830816,0.10724716816012489
camera0_3_image000430,0.0,0.002246650540983727,0.0257319542511863,0.11547893402104338,0.14791436657987841,0.09579282922757511
camera0_3_image000440,0.0,0.00123842245432548,0.02225074525305435,0.11284949698231979,0.14449316854472394,0.09289667926323823
camera0_3_image000450,0.0,0.0014042147157001987,0.009880649572354147,0.11414174377965619,0.14083212227766836,0.08975570816792694
camera0_3_image000460,0.0,0.0011850238402093594,0.11326799260550484,0.1360050958589622,0.14502737448212277,0.12424016279405098
camera0_3_image000470,0.0,0.0010503043575028595,0.09926695222165466,0.1468820249040004,0.1442264948992134,0.12579380088642647
camera0_3_image000480,0.0,0.0010967357884712656,0.08944684323088357,0.14450677258353783,0.14117751012681867,0.12171446265830857
camera0_3_image000490,0.0,0.0011651727321187637,0.03226499114263926,0.11160002653831406,0.12176222002394418,0.08886123507905623
camera0_3_image000500,0.0,0.0011600837053154175,0.06622398652194504,0.12170156113615992,0.11580953815463048,0.09966736139808628
camera0_4_image000000,0.015484228002961077,0.030500517424902358,0.030504590979001843,0.16376222779811253,0.12399538836410548,0.11438140445922335
camera0_4_image000010,0.0,0.0007463029315394919,0.00044211418970175687,0.07558146472100226,0.060944055056301655,0.04987952748800819
camera0_4_image000020,0.0,0.0006166576237639148,0.0004375781675464129,0.10986491699281158,0.09018195995970117,0.07283930032066374
camera0_4_image000030,0.0,0.0011876400782951674,0.0068860149557157585,0.10426810870894894,0.10119553471112025,0.07456800986400572
camera0_4_image000040,0.0,0.008194166448231475,0.026361247206144925,0.1544333673210781,0.12366823078038164,0.10778999101124495
camera0_4_image000050,0.006600693946547598,0.3728180752838242,0.3331262536512026,0.2368718394078155,0.1459437074976606,0.23731362519813473
camera0_4_image000060,0.37244795740112946,0.5286696636756385,0.40404099455929693,0.14012206293888993,0.11563292990249922,0.2162742207953447
camera0_4_image000070,0.0,3.1672445789467296e-05,0.027825815177781488,0.023148763832052204,0.07560503671626868,0.03593983492782997
camera0_4_image000080,0.0,0.0,0.0004234331582126428,0.013058326971560345,0.06785384633753111,0.023166647658770252
camera0_4_image000090,0.003703358994285492,0.0007712996168266151,0.0004400781752694191,0.03125970419874746,0.08091120705639948,0.03485097162183273
camera0_4_image000100,0.0,0.0008417782495724783,0.00541508953932244,0.13948620582546453,0.1240224092838511,0.09599057586868603
camera0_4_image000110,0.0012101750565406862,0.20797414785228666,0.3135175386345362,0.271717294580621,0.17954353951051727,0.2495789432183441
camera0_4_image000120,0.0,0.099495255060135,0.3275520962015306,0.32234985691018897,0.2097127962688071,0.2784466088887217
camera0_4_image000130,0.0,0.1169901823245605,0.3017646769337108,0.2649639226156412,0.2005301090874071,0.24497767976118998
camera0_4_image000140,0.0,0.09916875011123603,0.1407547782243265,0.1560550827871299,0.16930204171525984,0.15018456216010204
camera0_4_image000150,0.005959126144571411,0.023662226277550772,0.054992951241598385,0.11601034236061429,0.15530182892887068,0.10564394750427666
camera0_4_image000160,0.03412679935814669,0.08228243598944117,0.13335283601604284,0.18290558175956576,0.17372794584443058,0.1617465979426344
camera0_4_image000170,0.0,0.11987267749262748,0.18435393208607684,0.22776933423291093,0.18480257526998026,0.19754621154428134
camera0_4_image000180,0.0,0.11828111427844878,0.1266205156211057,0.22034675539001938,0.1816222232813446,0.18017561808396168
camera0_4_image000190,0.0021526609506375073,0.019853961071795285,0.04628078798595136,0.14872612109550895,0.1504471833070102,0.11705879705435658
camera0_4_image000200,0.00028451241593295643,0.05055490079346263,0.06346104321919718,0.10711664357644035,0.13088400525462193,0.09846756205191566
camera0_4_image000210,0.0,0.011332198412393333,0.041026984786295545,0.11346181340100192,0.13746850630267554,0.09612723546625555
camera0_4_image000220,0.002192478882382455,0.10037898433311744,0.1397441103592034,0.13454740442573349,0.14751500291100172,0.13477617315433116
camera0_4_image000230,0.0,0.2274753348414945,0.2486429275113131,0.1706450899742426,0.1599244138321272,0.18480044717611294
camera0_4_image000240,0.0,0.10415832835955235,0.16303321488773084,0.16010383746859536,0.16528313336232453,0.15630010942158262
camera0_4_image000250,0.0,0.0024725801146657156,0.043670312716405826,0.11842762329160826,0.14654121274591891,0.10087355569096335
camera0_4_image000260,0.0,0.05853426112293454,0.09535464553355297,0.11447057337989333,0.13240412949479632,0.10979962362649642
camera0_4_image000270,0.04238428482996192,0.0447175927666317,0.04026377335809434,0.0630387458738752,0.11573113178088919,0.06991873228801447
camera0_4_image000280,0.0,0.0008979889092783351,0.000479938703677735,0.0068400345816935675,0.09892621552411397,0.02824036884043973
camera0_4_image000290,0.0,0.0013239827351449007,0.0006634339310289818,0.015679878946739792,0.10628659253487666,0.03417822779526745
camera0_4_image000300,0.0,0.0,0.0004147290663009602,0.03366708241837948,0.10540654019708814,0.04201528906814152
camera0_4_image000310,0.0,0.0,0.0004680810878692788,0.0005203903512031601,0.10003475578719113,0.025604225100615694
camera0_4_image000320,0.0,0.0010186562053304967,0.000520314639183215,0.000479983802661758,0.09946367672574567,0.025499820419888942
